lat,lon,period
4.5375,97.59338,50
4.0875,97.5356,50
4.079167,97.53458,50
1.3875,97.31603,254
1.379167,97.31569,254
4.6375,97.61541,50
4.629167,97.61426,55
4.595833,97.60968,50
4.5875,97.60854,50
4.570833,97.60626,50
4.0875,97.54395,50
4.6375,97.62377,50
4.629167,97.62262,51
4.6125,97.62032,254
4.5875,97.6169,50
4.570833,97.61462,50
4.5625,97.61349,50
4.129167,97.5574,50
4.0875,97.55231,50
1.3875,97.3327,254
4.629167,97.63098,54
4.570833,97.62299,50
4.154167,97.56884,50
4.145833,97.56781,52
4.1375,97.56678,50
4.129167,97.56576,50
4.120833,97.56474,50
4.079167,97.55965,50
4.6375,97.64049,254
4.629167,97.63934,254
4.595833,97.63476,254
4.579167,97.63248,50
4.570833,97.63134,50
4.5625,97.63021,51
4.1625,97.57822,50
4.154167,97.57719,50
4.145833,97.57616,53
4.1375,97.57513,54
4.129167,97.57411,50
4.120833,97.57309,51
4.0875,97.56902,50
4.6375,97.64885,254
4.595833,97.64312,50
4.579167,97.64084,50
4.570833,97.6397,50
4.5625,97.63857,50
4.095833,97.57838,50
4.0875,97.57737,50
4.079167,97.57635,50
4.6375,97.65721,254
4.5875,97.65034,50
4.579167,97.6492,50
4.570833,97.64806,51
4.5625,97.64693,50
4.095833,97.58674,51
4.0875,97.58572,50
4.6375,97.66557,254
4.579167,97.65756,53
4.570833,97.65643,57
2.9875,97.47831,51
2.979167,97.47758,54
2.970833,97.47684,50
2.9625,97.4761,50
4.604167,97.66934,254
4.595833,97.6682,254
4.5875,97.66706,52
4.579167,97.66592,54
4.570833,97.66478,50
2.9875,97.48666,53
2.979167,97.48592,52
2.970833,97.48518,50
2.9625,97.48444,53
2.954167,97.48371,51
4.5875,97.67542,52
4.579167,97.67428,50
4.570833,97.67314,55
2.995833,97.49574,54
2.9875,97.495,55
2.979167,97.49426,56
2.970833,97.49353,54
2.9625,97.49279,52
4.904167,97.72861,254
4.579167,97.68264,53
2.9875,97.50335,56
2.979167,97.50261,54
2.9625,97.50114,53
4.945833,97.7431,254
1.3625,97.40671,254
4.204167,97.65026,50
4.195833,97.64922,53
4.1875,97.64818,56
1.120833,97.40614,254
4.204167,97.65862,50
4.195833,97.65758,55
4.1875,97.65653,52
3.745833,97.60435,50
2.929167,97.52325,50
4.195833,97.66593,50
4.1875,97.66489,51
3.754167,97.61363,50
3.7375,97.61177,50
1.054167,97.42065,254
4.304167,97.68801,51
4.295833,97.68694,51
4.179167,97.6722,53
4.170833,97.67117,51
4.1625,97.67014,52
4.304167,97.69637,51
4.295833,97.6953,57
4.2875,97.69424,57
4.170833,97.67953,55
4.1625,97.67849,54
4.295833,97.70366,53
4.2875,97.70259,53
4.295833,97.71201,56
4.154167,97.69417,50
4.145833,97.69314,50
4.154167,97.70252,50
4.145833,97.70149,50
4.454167,97.74939,254
4.1375,97.70882,50
3.6625,97.67031,254
3.554167,97.69206,50
3.5625,97.70129,50
3.554167,97.70042,50
2.8375,97.64055,50
2.829167,97.64819,52
2.7625,97.65932,67
2.729167,97.66494,97
2.6375,97.6743,52
4.5875,97.89278,254
4.304167,97.85515,54
3.470833,97.75848,50
2.6125,97.68069,79
2.604167,97.68005,99
2.570833,97.67747,51
4.295833,97.86243,50
2.545833,97.68391,51
2.5375,97.68328,77
2.529167,97.68266,65
0.9125,97.59988,254
4.3375,97.87617,254
4.329167,97.87508,254
4.270833,97.86759,56
4.2625,97.86653,58
2.5375,97.69163,51
2.529167,97.69099,51
4.370833,97.88886,254
4.2875,97.87808,254
4.279167,97.87701,254
4.279167,97.88537,254
4.4625,97.91767,54
4.495833,97.9305,50
4.4625,97.92603,50
4.454167,97.92492,53
3.429167,97.80428,50
4.354167,97.92012,254
4.454167,97.94164,54
4.2125,97.91034,254
4.220833,97.91975,254
4.2125,97.91869,254
4.220833,97.9281,254
4.2125,97.92706,254
4.204167,97.926,254
4.1625,97.9208,254
4.179167,97.93123,254
4.170833,97.93019,254
4.1625,97.92915,254
4.420833,97.97065,50
4.179167,97.93958,254
4.170833,97.93855,254
4.1625,97.93751,254
2.8375,97.79907,50
4.429167,97.98011,254
4.179167,97.94794,254
4.170833,97.9469,254
2.8375,97.80742,50
4.429167,97.98847,254
4.420833,97.98737,52
4.4125,97.98627,58
3.4625,97.8745,254
4.129167,97.95844,254
2.8375,97.8241,53
2.745833,97.81647,56
2.7375,97.81579,50
2.729167,97.81511,50
4.429167,98.00519,254
4.120833,97.96577,254
4.1125,97.96474,254
4.104167,97.96372,254
4.095833,97.9627,50
4.029167,97.95461,254
3.4375,97.88862,254
3.429167,97.88776,254
2.8375,97.83245,51
2.804167,97.82964,50
2.745833,97.82481,52
2.7375,97.82413,51
2.729167,97.82346,55
0.6875,97.71954,254
4.354167,98.00369,254
4.345833,98.00261,60
4.104167,97.97208,254
4.095833,97.97105,62
4.020833,97.96195,51
3.420833,97.89526,254
3.4125,97.89442,254
2.8125,97.83868,50
2.804167,97.83799,50
2.754167,97.83384,50
2.745833,97.83316,51
2.7375,97.83247,51
2.729167,97.83179,50
4.354167,98.01205,53
4.3375,98.00988,254
4.104167,97.98043,254
4.095833,97.97941,254
4.0875,97.97839,52
3.4125,97.90276,254
3.204167,97.88219,254
2.754167,97.84219,50
2.745833,97.8415,50
2.6625,97.83478,59
2.8625,97.8596,50
2.854167,97.85889,50
2.754167,97.85052,50
2.745833,97.84985,50
2.670833,97.84379,65
2.6625,97.84312,254
2.654167,97.84246,254
2.5875,97.83725,59
2.579167,97.83661,53
2.570833,97.83597,62
4.395833,98.03422,53
4.345833,98.02768,254
4.1125,97.99816,254
4.104167,97.99714,254
4.045833,97.99003,254
3.2875,97.90695,254
2.704167,97.8548,51
2.695833,97.85413,50
2.670833,97.85213,59
2.6625,97.85146,254
2.654167,97.85081,254
2.629167,97.84883,50
2.620833,97.84818,50
2.6125,97.84753,52
2.604167,97.84689,52
2.595833,97.84624,51
2.5875,97.8456,50
2.579167,97.84495,56
2.570833,97.84431,64
4.170833,98.01374,254
4.1625,98.0127,254
4.1125,98.00652,53
2.754167,97.86721,50
2.704167,97.86314,52
2.695833,97.86247,53
2.6875,97.8618,52
2.654167,97.85915,86
2.6375,97.85783,50
2.629167,97.85718,52
2.620833,97.85652,53
2.6125,97.85587,61
2.604167,97.85522,65
2.5875,97.85394,52
2.579167,97.85329,63
2.570833,97.85265,56
4.195833,98.02523,254
4.045833,98.00674,254
3.9375,97.99381,254
2.7625,97.87624,50
2.754167,97.87556,51
2.7375,97.87419,53
2.720833,97.87283,63
2.7125,97.87216,65
2.704167,97.87148,55
2.695833,97.87081,54
2.6875,97.87015,50
2.679167,97.86948,58
2.670833,97.86881,90
2.6625,97.86815,254
2.654167,97.86749,254
2.645833,97.86683,254
2.6375,97.86617,50
2.620833,97.86487,55
2.6125,97.86421,55
2.604167,97.86356,61
2.579167,97.86163,53
2.570833,97.86099,50
2.5125,97.85658,51
2.504167,97.85595,51
2.479167,97.85409,51
2.470833,97.85348,53
2.4625,97.85286,57
2.454167,97.85225,50
2.445833,97.85164,52
2.4375,97.85104,50
2.429167,97.85043,51
4.3875,98.0582,254
4.379167,98.05711,254
4.270833,98.04308,254
4.1625,98.02942,254
4.145833,98.02734,55
4.104167,98.0222,254
3.9375,98.00216,254
2.8125,97.88875,50
2.7625,97.88458,50
2.754167,97.8839,50
2.745833,97.88322,58
2.7375,97.88253,53
2.729167,97.88185,53
2.720833,97.88118,68
2.7125,97.8805,73
2.704167,97.87983,51
2.695833,97.87916,53
2.6875,97.87849,254
2.679167,97.87782,254
2.670833,97.87715,95
2.6625,97.8765,254
2.654167,97.87583,254
2.645833,97.87518,254
2.6125,97.87256,55
2.604167,97.87191,53
2.579167,97.86997,51
2.570833,97.86934,51
2.5625,97.8687,51
2.504167,97.86429,50
2.495833,97.86367,52
2.4875,97.86304,254
2.479167,97.86243,53
2.470833,97.86182,51
2.4625,97.86121,55
2.454167,97.86059,57
2.445833,97.85999,57
2.4375,97.85938,53
2.429167,97.85877,51
2.4125,97.85757,55
2.404167,97.85697,56
2.395833,97.85637,51
4.3875,98.06655,254
4.345833,98.06111,254
4.245833,98.04826,254
4.2375,98.0472,254
4.229167,98.04614,59
4.1625,98.03777,254
4.154167,98.03674,51
4.145833,98.0357,57
3.9875,98.01644,50
3.954167,98.01248,254
2.820833,97.89779,50
2.8125,97.89709,254
2.7625,97.89293,50
2.754167,97.89224,53
2.745833,97.89156,56
2.7375,97.89088,59
2.729167,97.8902,55
2.720833,97.88952,60
2.7125,97.88885,67
2.704167,97.88817,71
2.695833,97.8875,254
2.6875,97.88683,254
2.679167,97.88616,254
2.670833,97.8855,65
2.654167,97.88417,254
2.645833,97.88351,254
2.5875,97.87896,58
2.579167,97.87832,52
2.570833,97.87768,51
2.5625,97.87704,52
2.495833,97.87201,50
2.4875,97.87139,50
2.479167,97.87077,53
2.470833,97.87016,52
2.4625,97.86954,56
2.454167,97.86893,50
2.445833,97.86832,54
2.4375,97.86771,53
2.429167,97.86711,51
2.4125,97.86591,51
2.404167,97.86531,57
2.395833,97.86472,50
2.3875,97.86412,59
2.379167,97.86353,50
2.370833,97.86294,51
2.3375,97.8606,51
4.3875,98.07491,254
4.3625,98.07164,254
4.245833,98.05661,254
4.154167,98.04509,254
4.145833,98.04405,52
4.1375,98.04302,52
4.020833,98.02879,54
4.004167,98.02679,254
3.995833,98.02579,254
3.9875,98.0248,254
3.970833,98.02281,254
3.9625,98.02182,254
3.954167,98.02084,254
2.829167,97.90684,50
2.820833,97.90614,254
2.8125,97.90543,254
2.804167,97.90473,254
2.770833,97.90196,54
2.7625,97.90127,61
2.754167,97.90059,58
2.745833,97.8999,53
2.7375,97.89922,57
2.729167,97.89854,51
2.720833,97.89787,60
2.7125,97.89719,62
2.704167,97.89651,53
2.695833,97.89584,254
2.6875,97.89517,254
2.654167,97.89252,254
2.570833,97.88602,51
2.5625,97.88538,51
2.5375,97.88348,51
2.529167,97.88285,50
2.479167,97.87911,52
2.470833,97.87849,53
2.454167,97.87727,51
2.445833,97.87666,50
2.4375,97.87606,51
2.429167,97.87545,52
2.404167,97.87365,50
2.395833,97.87305,56
2.3875,97.87246,61
2.379167,97.87186,64
2.370833,97.87128,51
2.345833,97.86951,50
2.3375,97.86893,52
4.370833,98.08109,254
4.154167,98.05344,254
4.145833,98.05241,254
4.029167,98.03815,50
4.004167,98.03514,254
3.995833,98.03414,254
3.970833,98.03117,254
3.9625,98.03017,254
3.954167,98.02919,254
2.820833,97.91447,254
2.8125,97.91377,254
2.795833,97.91238,50
2.7875,97.91168,50
2.770833,97.9103,51
2.7625,97.90961,50
2.754167,97.90893,63
2.745833,97.90824,68
2.7375,97.90756,58
2.729167,97.90688,54
2.720833,97.9062,50
2.7125,97.90553,50
2.704167,97.90485,51
2.654167,97.90086,254
2.645833,97.9002,50
2.6125,97.89758,53
2.604167,97.89693,57
2.595833,97.89629,60
2.5625,97.89372,56
2.554167,97.89309,53
2.545833,97.89246,52
2.5375,97.89182,55
