lat,lon,prob201107,prob201108
1.3125,100.6306,103,103
1.304167,100.6302,103,103
1.295833,100.6299,103,103
1.2875,100.6296,103,103
1.279167,100.6292,103,103
1.270833,100.6289,103,103
1.2625,100.6286,103,103
1.254167,100.6283,103,103
1.220833,100.627,85,85
1.179167,100.6255,103,103
1.1375,100.624,50,50
1.129167,100.6237,101,101
1.070833,100.6217,101,101
1.045833,100.6209,95,95
1.0375,100.6207,98,98
1.029167,100.6204,103,103
1.020833,100.6201,103,103
1.0125,100.6199,103,103
1.004167,100.6196,99,99
.9958333,100.6194,103,103
.9875,100.6191,103,103
.9791667,100.6189,97,97
.9208333,100.6172,101,101
.9125,100.6169,101,101
.9041666,100.6167,101,101
.8958333,100.6165,101,101
.8875,100.6162,101,101
.8791667,100.616,101,101
.8708333,100.6158,101,101
.8625,100.6156,101,101
.7958333,100.6139,101,101
.7708333,100.6133,101,101
.7625,100.6131,101,101
.7541667,100.6129,101,101
.7458333,100.6127,101,101
.7375,100.6125,50,50
.7291667,100.6123,101,101
.7208334,100.6121,101,101
.7125,100.6119,56,56
.7041667,100.6118,65,65
.6958333,100.6116,54,54
.6875,100.6114,101,50
.6791667,100.6112,101,101
.6708333,100.6111,101,101
.6625,100.6109,101,101
.6541666,100.6107,56,56
.5958334,100.6096,101,55
.5291666,100.6085,103,103
.5208333,100.6083,101,101
.5125,100.6082,101,101
.5041667,100.6081,101,101
.4958333,100.6079,101,101
.4875,100.6078,101,101
.4791667,100.6077,103,103
.4708333,100.6076,103,103
.4125,100.6068,101,101
.3458333,100.606,101,101
.2625,100.6052,101,101
.2541667,100.6052,101,101
.2458333,100.6051,101,101
.2375,100.605,101,101
.2291667,100.605,101,101
.2208333,100.6049,101,101
.2125,100.6049,101,101
.2041667,100.6048,101,101
.1958333,100.6048,101,101
.1875,100.6047,101,101
.1375,100.6045,101,101
.1291667,100.6044,101,101
.1125,100.6044,101,101
.1041667,100.6043,101,101
.0958333,100.6043,101,101
.0875,100.6043,101,101
.0791667,100.6043,101,101
.0708333,100.6042,101,101
.0625,100.6042,101,101
.0541667,100.6042,101,101
.0458333,100.6042,101,101
.0375,100.6042,101,101
.0291667,100.6042,101,101
.0208333,100.6042,101,101
.0125,100.6042,101,101
.0041667,100.6042,101,101
1.679167,100.6557,101,101
1.670833,100.6553,101,101
1.6625,100.6549,101,101
1.654167,100.6544,101,101
1.645833,100.654,101,101
1.6375,100.6536,101,101
1.629167,100.6532,101,101
1.6125,100.6524,101,101
1.604167,100.6519,101,101
1.595833,100.6515,101,101
1.520833,100.648,101,101
1.479167,100.646,103,103
1.404167,100.6427,101,101
1.395833,100.6424,101,101
1.3875,100.642,56,58
1.379167,100.6417,87,87
1.370833,100.6413,95,95
1.3625,100.641,93,93
1.354167,100.6406,92,92
1.345833,100.6403,71,72
1.3375,100.6399,81,85
1.329167,100.6396,52,52
1.320833,100.6392,67,67
1.3125,100.6389,84,84
1.304167,100.6386,92,92
1.295833,100.6382,103,103
1.2875,100.6379,103,103
1.279167,100.6376,103,103
1.2625,100.6369,103,103
1.2375,100.636,59,59
1.229167,100.6357,75,75
1.220833,100.6353,55,55
1.2125,100.635,93,93
1.195833,100.6344,88,94
1.1875,100.6341,96,96
1.179167,100.6338,95,95
1.079167,100.6303,101,101
1.070833,100.6301,101,101
1.045833,100.6293,97,97
1.0375,100.629,95,95
1.029167,100.6287,103,103
1.020833,100.6285,103,103
1.0125,100.6282,103,103
1.004167,100.628,99,99
.9958333,100.6277,99,99
.9875,100.6274,99,99
.9791667,100.6272,99,99
.9208333,100.6255,101,101
.9125,100.6253,101,101
.9041666,100.625,101,101
.8958333,100.6248,101,101
.8875,100.6246,101,101
.7958333,100.6222,101,101
.7875,100.622,101,101
.7791666,100.6218,101,101
.7708333,100.6216,101,101
.7625,100.6214,101,101
.7541667,100.6212,101,101
.7458333,100.621,101,101
.7375,100.6208,101,101
.7291667,100.6207,101,101
.7208334,100.6205,101,101
.7125,100.6203,101,101
.7041667,100.6201,101,101
.6958333,100.6199,63,63
.6875,100.6197,54,55
.6791667,100.6196,101,101
.6708333,100.6194,51,51
.6625,100.6192,101,101
.6541666,100.6191,101,101
.6458333,100.6189,101,101
.6375,100.6187,101,101
.5625,100.6173,101,101
.5291666,100.6168,103,103
.5208333,100.6167,101,101
.5041667,100.6164,101,101
.4958333,100.6163,101,101
.4875,100.6161,101,101
.4791667,100.616,80,80
.4708333,100.6159,103,103
.4625,100.6158,103,103
.3458333,100.6143,103,103
.3125,100.614,101,101
.2625,100.6136,101,101
.2541667,100.6135,101,101
.2458333,100.6134,101,101
.2375,100.6134,101,101
.2291667,100.6133,101,101
.2208333,100.6133,101,101
.2125,100.6132,101,101
.2041667,100.6131,101,101
.1958333,100.6131,101,101
.1875,100.613,101,101
.1791667,100.613,101,101
.1541667,100.6129,101,101
.1041667,100.6127,101,101
.0958333,100.6126,101,101
.0875,100.6126,101,101
.0791667,100.6126,101,101
.0708333,100.6126,101,101
.0625,100.6126,101,101
.0541667,100.6125,101,101
.0458333,100.6125,101,101
.0375,100.6125,101,101
.0208333,100.6125,101,101
.0125,100.6125,101,101
.0041667,100.6125,101,101
1.6625,100.6632,101,101
1.654167,100.6628,101,101
1.645833,100.6624,101,101
1.6375,100.6619,101,101
1.629167,100.6615,101,101
1.620833,100.6611,101,101
1.6125,100.6607,101,101
1.604167,100.6603,101,101
1.595833,100.6599,101,101
1.520833,100.6563,101,101
1.504167,100.6555,101,101
1.404167,100.6511,101,101
1.395833,100.6507,101,101
1.3875,100.6503,101,101
1.379167,100.65,79,79
1.370833,100.6496,65,65
1.3625,100.6493,101,101
1.354167,100.6489,75,75
1.345833,100.6486,89,90
1.3375,100.6483,86,89
1.329167,100.6479,52,55
1.320833,100.6476,65,65
1.3125,100.6472,101,101
1.304167,100.6469,101,101
1.295833,100.6466,87,87
1.2875,100.6462,103,103
1.279167,100.6459,103,103
1.2625,100.6453,103,103
1.254167,100.6449,103,103
1.245833,100.6446,91,91
1.2375,100.6443,64,64
1.229167,100.644,101,101
1.2125,100.6434,75,76
1.204167,100.6431,82,82
1.195833,100.6428,82,82
1.1875,100.6424,76,76
1.179167,100.6421,86,86
1.079167,100.6387,101,101
1.070833,100.6384,101,101
1.0625,100.6381,101,101
1.054167,100.6379,90,90
1.045833,100.6376,93,93
1.0375,100.6373,103,103
1.029167,100.6371,103,103
1.020833,100.6368,103,103
1.0125,100.6365,103,103
1.004167,100.6363,99,99
.9958333,100.636,99,99
.9875,100.6358,103,103
.9791667,100.6355,103,103
.9708334,100.6353,99,99
.9625,100.635,103,103
.9541667,100.6348,103,103
.9458333,100.6345,90,90
.9375,100.6343,91,91
.9208333,100.6338,53,53
.9125,100.6336,103,103
.9041666,100.6334,103,103
.8958333,100.6331,101,101
.8708333,100.6325,101,101
.7958333,100.6305,101,101
.7875,100.6303,101,101
.7791666,100.6301,101,101
.7708333,100.6299,101,101
.7625,100.6297,101,101
.7541667,100.6295,101,101
.7458333,100.6294,101,101
.7375,100.6292,101,101
.7291667,100.629,101,50
.7208334,100.6288,101,101
.7125,100.6286,101,101
.7041667,100.6284,101,101
.6958333,100.6283,55,57
.6875,100.6281,57,58
.6791667,100.6279,50,51
.6708333,100.6277,101,101
.6541666,100.6274,101,101
.6458333,100.6272,103,103
.6375,100.6271,103,103
.6291667,100.6269,103,103
.6208333,100.6267,103,103
.5708333,100.6258,101,101
.5625,100.6257,101,101
.5208333,100.625,103,103
.5125,100.6249,103,103
.5041667,100.6247,53,53
.4958333,100.6246,101,101
.4875,100.6245,101,101
.4791667,100.6244,101,101
.4708333,100.6242,93,93
.4625,100.6241,103,103
.4541667,100.624,103,103
.3458333,100.6227,103,103
.3208333,100.6224,101,101
.2875,100.6221,101,101
.2791667,100.622,101,101
.2708333,100.622,101,101
.2625,100.6219,101,101
.2541667,100.6218,101,101
.2458333,100.6218,101,101
.2375,100.6217,101,101
.2291667,100.6216,101,101
.2208333,100.6216,101,101
.2125,100.6215,101,101
.1875,100.6214,101,101
.1791667,100.6213,101,101
.0958333,100.621,101,101
.0875,100.6209,101,101
.0791667,100.6209,101,101
.0708333,100.6209,101,101
.0625,100.6209,101,101
.0541667,100.6209,101,101
.0458333,100.6209,101,101
.0375,100.6209,101,101
.0208333,100.6208,101,101
.0125,100.6208,101,101
.0041667,100.6208,101,101
1.6625,100.6715,101,101
1.654167,100.6711,101,101
1.645833,100.6707,101,101
1.6375,100.6703,101,101
1.629167,100.6699,101,101
1.620833,100.6694,101,101
1.6125,100.669,101,101
1.604167,100.6686,101,101
1.595833,100.6682,101,101
1.5875,100.6678,101,101
1.404167,100.6594,101,101
1.395833,100.659,101,101
1.3875,100.6587,101,101
1.379167,100.6583,101,101
1.370833,100.658,101,101
1.3625,100.6576,101,101
1.354167,100.6573,63,63
1.345833,100.6569,96,96
1.3375,100.6566,83,85
1.329167,100.6563,61,66
1.320833,100.6559,101,101
1.3125,100.6556,101,101
1.304167,100.6552,101,101
1.295833,100.6549,101,101
1.2875,100.6546,78,78
1.279167,100.6543,97,97
1.270833,100.6539,99,99
1.2625,100.6536,99,99
1.254167,100.6533,98,98
1.245833,100.653,93,93
1.2375,100.6526,101,101
1.229167,100.6523,101,101
1.220833,100.652,101,101
1.2125,100.6517,101,101
1.204167,100.6514,50,55
1.195833,100.6511,59,61
1.1875,100.6508,101,101
