lat,lon,period
23.4125,100.3041,254
22.1875,99.4156,254
23.45417,100.3539,254
23.40417,100.3159,254
23.30417,100.2403,254
23.29583,100.2341,254
23.50417,100.401,254
22.4375,99.6118,254
23.45417,100.3811,254
23.32083,100.2801,58
23.3125,100.2738,254
23.52917,100.4473,54
23.52083,100.441,80
23.5125,100.4346,70
23.45417,100.3902,254
23.3125,100.2829,69
23.29583,100.2704,74
23.2875,100.2641,51
23.3125,100.292,83
23.30417,100.2857,254
23.2875,100.2732,73
23.27917,100.2669,60
23.47083,100.421,51
23.4625,100.4147,254
23.27083,100.2969,254
23.27083,100.306,62
23.6125,100.5929,59
23.44583,100.4656,58
23.4375,100.4593,78
23.4375,100.4684,85
23.42917,100.462,51
23.4375,100.4774,59
23.57917,100.5947,53
23.3875,100.4576,64
23.22917,100.3472,254
23.22083,100.3409,254
23.24583,100.3688,254
23.2375,100.3625,254
23.22917,100.3562,254
23.22083,100.35,254
23.39583,100.4912,69
23.24583,100.3778,254
23.2375,100.3716,254
23.22917,100.3653,254
23.20417,100.3647,254
23.4125,100.5311,62
23.39583,100.5184,254
23.20417,100.3737,254
23.4125,100.5402,254
23.39583,100.5275,254
23.3625,100.5022,254
23.19583,100.3765,55
23.40417,100.5429,254
23.39583,100.5366,254
23.3875,100.5303,254
23.42083,100.5647,254
23.40417,100.552,254
23.3875,100.5394,254
23.37917,100.533,254
23.34583,100.5078,254
23.5375,100.6628,254
23.45417,100.5991,254
23.42083,100.5738,254
23.37917,100.5421,254
23.34583,100.5168,254
23.3375,100.5105,254
23.7625,100.8451,254
23.34583,100.5259,254
23.3375,100.5196,254
23.32917,100.5133,254
22.9625,100.2387,254
23.7625,100.8542,254
23.4375,100.6046,254
23.3375,100.5287,254
23.32917,100.5224,254
22.9625,100.2478,254
23.57917,100.731,254
23.57083,100.7247,254
23.4125,100.6037,254
23.57083,100.7337,254
23.5625,100.7364,254
23.39583,100.6365,55
23.2875,100.5544,254
23.29583,100.5698,50
23.2875,100.5635,56
23.27917,100.5572,74
23.19583,100.4944,69
23.19583,100.5035,73
23.2875,100.5998,254
23.2875,100.6088,254
23.27917,100.6025,254
23.24583,100.5955,254
23.24583,100.6046,254
22.90417,100.3674,254
22.89583,100.3613,254
23.27083,100.6688,254
23.2625,100.6625,254
23.25417,100.6562,254
23.25417,100.6653,254
23.0375,100.5027,58
23.02917,100.5055,58
22.8625,100.3999,254
22.8625,100.418,254
24.2125,101.4814,254
22.77917,100.4379,254
22.5875,100.3608,254
22.64583,100.4304,53
22.6375,100.4243,254
22.64583,100.4395,254
22.62917,100.4273,254
22.6375,100.4424,254
22.62083,100.4302,52
21.95417,100.0063,254
21.9375,100.0036,254
21.87083,99.96577,254
21.8625,99.95994,254
24.0625,101.6088,254
21.85417,99.96308,254
24.05417,101.6205,254
21.87917,99.99855,254
24.12917,101.6891,254
21.8625,99.99585,254
22.4125,100.3961,53
21.7875,99.9614,254
22.8875,100.7621,254
21.82083,99.99364,254
21.7875,99.97037,254
24.0125,101.6423,254
24.00417,101.654,254
21.75417,99.98303,254
21.79583,100.0211,63
22.54583,100.565,254
21.7375,99.98937,254
23.95417,101.651,254
22.5125,100.5588,254
23.37917,101.2139,62
23.37917,101.223,51
23.37083,101.2167,56
22.12083,100.295,254
23.37917,101.2321,50
23.2625,101.1796,254
22.6125,100.695,254
22.77083,100.8204,254
22.7625,100.8233,254
22.72917,100.8077,254
21.7375,100.097,254
22.72917,100.8168,254
22.72083,100.8106,254
21.6875,100.0712,254
22.72083,100.8197,254
22.7125,100.8135,254
22.57083,100.7096,254
22.5625,100.7035,254
22.4125,100.5945,254
22.7125,100.8226,254
21.7375,100.1239,254
22.7625,100.8866,254
22.52083,100.7092,254
22.39583,100.6184,254
23.92917,101.7863,254
22.7625,100.8956,254
22.75417,100.8894,254
22.52083,100.7182,254
23.92083,101.7888,254
21.72917,100.2078,254
21.7375,100.2226,254
21.72917,100.2168,254
21.67083,100.1762,254
21.6375,100.1531,254
21.72917,100.2258,254
21.67083,100.1852,254
21.6625,100.1794,254
21.6375,100.162,254
21.67083,100.1942,254
21.65417,100.1826,254
21.6625,100.1973,254
21.64583,100.1858,254
22.69583,100.9729,254
22.6875,100.9667,254
21.72917,100.2796,254
22.6875,100.9758,254
21.57083,100.1966,50
21.55417,100.194,57
21.8875,100.4355,254
25.12083,102.9409,53
